id	filename	md5	size	state
7fadaf69-2a7b-4eca-aec9-c2f2b43eab3c	7fadaf69-2a7b-4eca-aec9-c2f2b43eab3c/1100a85c-823d-417b-a764-9282ec8593a5.rna_seq.augmented_star_gene_counts.tsv	2b5f96118cebbb127eaa65c26f43971e	4235280	validated
478a40b1-0f88-401d-92b6-4b58b2c56798	478a40b1-0f88-401d-92b6-4b58b2c56798/4fc53009-8904-4336-852b-ee2aea40f5e2.rna_seq.augmented_star_gene_counts.tsv	027d026916395cc4c55c1db186054938	4249203	validated
5b4ec1fd-516d-4c32-a233-0699e591df1a	5b4ec1fd-516d-4c32-a233-0699e591df1a/4331397f-eaf9-4e43-8fa2-e30ad3643aca.rna_seq.augmented_star_gene_counts.tsv	6696b036fe5b0845004df65a1e3bfd61	4254462	validated
5e789924-9d98-4765-a348-90a27349d906	5e789924-9d98-4765-a348-90a27349d906/d83bb114-c175-4fd5-aac0-5dc04b9218b0.rna_seq.augmented_star_gene_counts.tsv	d8dfac715263256aa92e52820c9ad00b	4256920	validated
a260d9e5-d88e-44eb-8431-4266c1baf68a	a260d9e5-d88e-44eb-8431-4266c1baf68a/9c20991b-fb37-4984-8b57-2c1fa8112d1a.rna_seq.augmented_star_gene_counts.tsv	8439e7ee7f371c0c298f95689b26ea7c	4222815	validated
ea1fadc2-1cdc-4658-9619-eeb26ae09da8	ea1fadc2-1cdc-4658-9619-eeb26ae09da8/9ee600fe-20c7-4b1f-b08f-15d3d38a5c52.rna_seq.augmented_star_gene_counts.tsv	151e826089cfc5f25208381c730421d1	4247558	validated
1eca5ea8-093a-494d-968b-2ffcfe2b4604	1eca5ea8-093a-494d-968b-2ffcfe2b4604/1cb7f73e-af63-4d6a-b6a1-fe289435a93f.rna_seq.augmented_star_gene_counts.tsv	dca828ae93845a901b345199410a5733	4241317	validated
d141392c-757b-44f5-b531-0bcc136d8b17	d141392c-757b-44f5-b531-0bcc136d8b17/4937e136-52e6-4c33-9f53-36ce2a94c09e.rna_seq.augmented_star_gene_counts.tsv	456b4b9176a9e7c059fadc0253c06fc8	4244039	validated
54dcd665-8138-4cab-8622-224d7066d466	54dcd665-8138-4cab-8622-224d7066d466/783adea2-f11b-46ca-9cdc-f06823db5afc.rna_seq.augmented_star_gene_counts.tsv	44e9c407116b94fcc14305dc0f00c2bf	4227947	validated
3e3125cd-a554-4a76-a9e2-b9187e0db6ab	3e3125cd-a554-4a76-a9e2-b9187e0db6ab/3d1bf8fc-c86b-436e-ab0c-3734af129b09.rna_seq.augmented_star_gene_counts.tsv	67df736fc20eff2e11b1e30224c2cd13	4241736	validated
5e863e9f-1449-4a38-ac00-cfd7c21ba6e2	5e863e9f-1449-4a38-ac00-cfd7c21ba6e2/fe379cd5-d51b-44b3-9adf-49e2cc3b0bf5.rna_seq.augmented_star_gene_counts.tsv	45f318c7a3c7477f37455da25d754983	4244520	validated
89409cf3-e710-47fd-af3c-6f8f0dec7c90	89409cf3-e710-47fd-af3c-6f8f0dec7c90/e6bad6ec-c178-4684-99e8-2504781a022b.rna_seq.augmented_star_gene_counts.tsv	065c8923da34b05c559a4f446e12cffa	4212897	validated
9928c491-426a-4507-8ddd-999d6b892e29	9928c491-426a-4507-8ddd-999d6b892e29/677a334e-f2cb-455f-bf50-05e23cb2a7ec.rna_seq.augmented_star_gene_counts.tsv	5d8f3712497000cac73f6fdfdda8dd00	4264013	validated
d67b8114-b70f-4e69-bae5-4f2f982c4b1b	d67b8114-b70f-4e69-bae5-4f2f982c4b1b/f337af94-788c-4de9-ab62-8627dc88695d.rna_seq.augmented_star_gene_counts.tsv	1baa59c3bd3ce3b964009b6567902324	4248343	validated
895b7107-2c08-4106-b119-6fbb597392da	895b7107-2c08-4106-b119-6fbb597392da/be813beb-9b35-4063-9d61-9f49a7fd7706.rna_seq.augmented_star_gene_counts.tsv	537b7f3a4a4711993bda5cfc653c81a8	4244647	validated
ea01e210-0d45-4c23-8644-904771672188	ea01e210-0d45-4c23-8644-904771672188/23b6c182-bb01-403a-9844-560518d059ac.rna_seq.augmented_star_gene_counts.tsv	a0ff7988e7f28ae3f901af50258ea510	4255609	validated
fdd73b76-517e-4554-ba4d-1c67b1b758f8	fdd73b76-517e-4554-ba4d-1c67b1b758f8/fc5b682e-c00d-4840-8c11-f17abe059fa8.rna_seq.augmented_star_gene_counts.tsv	9d3485573f87a8add19507dcb263aa3c	4235898	validated
d777e8a9-92a8-48eb-bf58-8e13af99c77f	d777e8a9-92a8-48eb-bf58-8e13af99c77f/23dace7d-4200-46ee-8501-96c4b5084851.rna_seq.augmented_star_gene_counts.tsv	cef94ca9bd0255990306cede3bedc0b8	4246500	validated
bf26a3fb-39a8-4eff-b801-a7dd915e73f5	bf26a3fb-39a8-4eff-b801-a7dd915e73f5/01ae5613-1c58-4d02-8fd3-47d35d71c22d.rna_seq.augmented_star_gene_counts.tsv	2ce655325db949c2399cb172a8e09a90	4233729	validated
427a04c9-9b48-49de-8a47-2adc4e1dd32a	427a04c9-9b48-49de-8a47-2adc4e1dd32a/fead73ce-2e66-4647-8b6c-b8bbdaaf30fe.rna_seq.augmented_star_gene_counts.tsv	ec942dcd0042eec6c74ef4c9f7cc5534	4248833	validated
