"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901970","positive regulation of mitotic sister chromatid separation","3/104","22/18842",0.136363636363636,24.7054195804196,8.28812332490613,0.000233078518335557,0.00476726876456099,0.00397973724697799,"DLGAP5/BIRC5/UBE2C",3
"GO:0007094","mitotic spindle assembly checkpoint signaling","4/104","56/18842",0.0714285714285714,12.9409340659341,6.66687299679925,0.000258022784275586,0.00509912581377227,0.00425677299315539,"BIRC5/CENPF/BUB1B/BUB1",4
"GO:0071173","spindle assembly checkpoint signaling","4/104","56/18842",0.0714285714285714,12.9409340659341,6.66687299679925,0.000258022784275586,0.00509912581377227,0.00425677299315539,"BIRC5/CENPF/BUB1B/BUB1",4
"GO:0071174","mitotic spindle checkpoint signaling","4/104","56/18842",0.0714285714285714,12.9409340659341,6.66687299679925,0.000258022784275586,0.00509912581377227,0.00425677299315539,"BIRC5/CENPF/BUB1B/BUB1",4
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","6/104","160/18842",0.0375,6.79399038461538,5.48318759712809,0.000260898989903072,0.00509912581377227,0.00425677299315539,"DLGAP5/BIRC5/KIF11/KIF4A/TPX2/AURKA",6
"GO:0031577","spindle checkpoint signaling","4/104","57/18842",0.0701754385964912,12.7139001349528,6.59842633311368,0.000276326245050451,0.00530326381933027,0.00442718831152014,"BIRC5/CENPF/BUB1B/BUB1",4
"GO:0000281","mitotic cytokinesis","5/104","104/18842",0.0480769230769231,8.71024408284024,5.87394946926673,0.000277373661954738,0.00530326381933027,0.00442718831152014,"BIRC5/KIF4A/ANLN/CEP55/KIF20A",5
"GO:0033046","negative regulation of sister chromatid segregation","4/104","58/18842",0.0689655172413793,12.4946949602122,6.53167300928595,0.000295543715038292,0.00541522286200371,0.00452065222015809,"BIRC5/CENPF/BUB1B/BUB1",4
"GO:0033048","negative regulation of mitotic sister chromatid segregation","4/104","58/18842",0.0689655172413793,12.4946949602122,6.53167300928595,0.000295543715038292,0.00541522286200371,0.00452065222015809,"BIRC5/CENPF/BUB1B/BUB1",4
"GO:0045841","negative regulation of mitotic metaphase/anaphase transition","4/104","58/18842",0.0689655172413793,12.4946949602122,6.53167300928595,0.000295543715038292,0.00541522286200371,0.00452065222015809,"BIRC5/CENPF/BUB1B/BUB1",4
"GO:2000816","negative regulation of mitotic sister chromatid separation","4/104","58/18842",0.0689655172413793,12.4946949602122,6.53167300928595,0.000295543715038292,0.00541522286200371,0.00452065222015809,"BIRC5/CENPF/BUB1B/BUB1",4
"GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","4/104","60/18842",0.0666666666666667,12.0782051282051,6.40296512938248,0.000336826144007175,0.00604568558478185,0.00504696531568216,"BIRC5/CENPF/BUB1B/BUB1",4
"GO:1905819","negative regulation of chromosome separation","4/104","60/18842",0.0666666666666667,12.0782051282051,6.40296512938248,0.000336826144007175,0.00604568558478185,0.00504696531568216,"BIRC5/CENPF/BUB1B/BUB1",4
"GO:0010458","exit from mitosis","3/104","25/18842",0.12,21.7407692307692,7.73084023765874,0.000343941172920087,0.00611103558753972,0.00510151978972378,"BIRC5/ANLN/UBE2C",3
"GO:0051985","negative regulation of chromosome segregation","4/104","61/18842",0.0655737704918033,11.8802017654477,6.340880044992,0.000358944195295732,0.00631382839525193,0.00527081213092154,"BIRC5/CENPF/BUB1B/BUB1",4
"GO:0030522","intracellular receptor signaling pathway","9/104","399/18842",0.0225563909774436,4.08661075766339,4.64258172297567,0.00036536243117168,0.00636309422208896,0.0053119394631005,"OAS3/OAS1/GBP5/SFRP1/RSAD2/IFIH1/LEP/OASL/DDX60",9
"GO:0060333","type II interferon-mediated signaling pathway","3/104","26/18842",0.115384615384615,20.9045857988166,7.56629367044971,0.000387247626067368,0.0066781232769853,0.00557492712449926,"STAT1/PARP9/PARP14",3
