"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032728","positive regulation of interferon-beta production","4/94","42/18842",0.0952380952380952,19.0901722391084,8.31049421632123,5.62286395662783e-05,0.00144074366626382,0.00117599846685641,"OAS1/ISG15/OAS2/IFIH1",4
"GO:0070269","pyroptotic inflammatory response","4/94","42/18842",0.0952380952380952,19.0901722391084,8.31049421632123,5.62286395662783e-05,0.00144074366626382,0.00117599846685641,"TRIM21/GBP5/ZBP1/IFI27",4
"GO:0002428","antigen processing and presentation of peptide antigen via MHC class Ib","3/94","16/18842",0.1875,37.5837765957447,10.3659218331668,6.42404660463155e-05,0.00159377537191097,0.00130090968835646,"TAP2/B2M/HLA-B",3
"GO:0032897","negative regulation of viral transcription","3/94","16/18842",0.1875,37.5837765957447,10.3659218331668,6.42404660463155e-05,0.00159377537191097,0.00130090968835646,"TRIM21/TRIM14/SP100",3
"GO:0007259","cell surface receptor signaling pathway via JAK-STAT","6/94","146/18842",0.0410958904109589,8.23754007577966,6.21629317868998,9.07782777178937e-05,0.00221697575114169,0.00180959329924486,"STAT2/STAT1/IFNL2/IFNL1/PARP9/PARP14",6
"GO:0071359","cellular response to dsRNA","3/94","18/18842",0.166666666666667,33.4078014184397,9.74020939936323,9.29323597254715e-05,0.0022346658192448,0.00182403271234448,"OAS1/IFIT1/IFIH1",3
"GO:0019080","viral gene expression","5/94","93/18842",0.0537634408602151,10.7767101349806,6.69242615894355,0.000102031548071875,0.00241629257024758,0.0019722844699061,"TRIM21/TRIM14/SP100/IFIT1/PARP9",5
"GO:0046782","regulation of viral transcription","3/94","20/18842",0.15,30.0670212765957,9.20918231823825,0.000128895896728739,0.00300692965055252,0.00245438848130765,"TRIM21/TRIM14/SP100",3
"GO:0002475","antigen processing and presentation via MHC class Ib","3/94","21/18842",0.142857142857143,28.6352583586626,8.97202052184266,0.000149835624408518,0.00338883663085271,0.00276611778738154,"TAP2/B2M/HLA-B",3
"GO:0039535","regulation of RIG-I signaling pathway","3/94","21/18842",0.142857142857143,28.6352583586626,8.97202052184266,0.000149835624408518,0.00338883663085271,0.00276611778738154,"DHX58/DDX60/OASL",3
"GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","4/94","54/18842",0.0740740740740741,14.8479117415288,7.21571414873989,0.000151771314241644,0.00338883663085271,0.00276611778738154,"CD80/IFNL1/PARP9/PARP14",4
"GO:0001961","positive regulation of cytokine-mediated signaling pathway","4/94","58/18842",0.0689655172413793,13.8239178283199,6.92594618429095,0.000200534420992775,0.00429363424673572,0.00350465347142385,"ZBP1/PARP9/PARP14/NLRC5",4
"GO:0032608","interferon-beta production","4/94","58/18842",0.0689655172413793,13.8239178283199,6.92594618429095,0.000200534420992775,0.00429363424673572,0.00350465347142385,"OAS1/ISG15/OAS2/IFIH1",4
"GO:0032648","regulation of interferon-beta production","4/94","58/18842",0.0689655172413793,13.8239178283199,6.92594618429095,0.000200534420992775,0.00429363424673572,0.00350465347142385,"OAS1/ISG15/OAS2/IFIH1",4
"GO:0000077","DNA damage checkpoint signaling","5/94","109/18842",0.0458715596330275,9.19480772984579,6.07556651679095,0.000215425549495321,0.00455013694407009,0.00371402227579415,"WDR76/CLSPN/TIMELESS/DTX3L/PARP9",5
"GO:0097696","cell surface receptor signaling pathway via STAT","6/94","172/18842",0.0348837209302326,6.99233052944087,5.59018594721643,0.000222297670466044,0.00463268345251237,0.00378140037340135,"STAT2/STAT1/IFNL2/IFNL1/PARP9/PARP14",6
"GO:0050688","regulation of defense response to virus","4/94","60/18842",0.0666666666666667,13.3631205673759,6.79158656944768,0.000228737371438785,0.00470416462577396,0.00383974645683944,"HERC5/STAT1/DTX3L/PARP9",4
"GO:0048524","positive regulation of viral process","4/94","61/18842",0.0655737704918033,13.144053017091,6.72678651465406,0.000243859816892897,0.00495003758186491,0.00404043879800671,"ADAR/TRIM21/LARP1/IFIT1",4
"GO:0019083","viral transcription","3/94","25/18842",0.12,24.0536170212766,8.16718353360582,0.000255394361504584,0.00511771009014954,0.00417730048776728,"TRIM21/TRIM14/SP100",3
"GO:0044403","biological process involved in symbiotic interaction","6/94","181/18842",0.0331491712707182,6.64464558598801,5.40314893673692,0.000292545873606065,0.00578796456261113,0.00472439172299201,"SIGLEC1/BST2/TRIM21/PLSCR1/CD80/IFIT1",6
"GO:0035458","cellular response to interferon-beta","3/94","27/18842",0.111111111111111,22.2718676122931,7.83202060498316,0.000322456618139992,0.00622221844633095,0.0050788488783063,"OAS1/PNPT1/STAT1",3
"GO:0039529","RIG-I signaling pathway","3/94","27/18842",0.111111111111111,22.2718676122931,7.83202060498316,0.000322456618139992,0.00622221844633095,0.0050788488783063,"DHX58/DDX60/OASL",3
